Feature	Importance
가맹점매출금액_B1M	93.94335174560547
_2순위여유업종_이용금액	92.98332977294922
방문월수_PC_R6M	92.65906524658203
소지카드수_이용가능_신용	92.63545227050781
RV현금서비스이자율_할인전	92.46937561035156
이용건수_일시불_R6M	90.52214050292969
포인트_마일리지_환산_B0M	90.00740051269531
이용금액_CA_B0M	89.89205932617188
잔액_카드론_B0M	89.68013000488281
이용건수_CA_R6M	89.29608154296875
이용건수_일시불_B0M	85.99384307861328
당사멤버쉽_방문횟수_R6M	84.88249969482422
잔액_카드론_B2M	84.82925415039062
평잔_일시불_6M	84.69425201416016
컨택건수_보험_TM_R6M	84.62488555908203
RV_최대잔액_R12M	84.1236801147461
이용금액_간편결제_R6M	84.01154327392578
잔액_카드론_B5M	83.98271942138672
컨택건수_이용유도_청구서_R6M	83.76293182373047
이용개월수_신판_R12M	83.65792083740234
보유여부_해외겸용_본인	83.63225555419922
평잔_6M	83.107666015625
수신거부여부_TM	83.08909606933594
쇼핑_기타_이용금액	82.965087890625
이용금액_할부_R12M	82.89541625976562
이용금액_할부_무이자_R6M	81.56047821044922
잔액_리볼빙일시불이월_B0M	81.47885131835938
이용건수_간편결제_B0M	81.1886978149414
잔액_카드론_B1M	80.72307586669922
남녀구분코드	79.42904663085938
이용건수_할부_유이자_R6M	79.1943588256836
혜택수혜금액	77.77330017089844
_2순위쇼핑업종_이용금액	77.73016357421875
불만제기후경과월_R12M	76.89763641357422
_3순위여유업종_이용금액	76.12910461425781
변동률_CA평잔	75.83906555175781
_1순위쇼핑업종_이용금액	75.60317993164062
납부_가스전기료이용금액	75.50704193115234
증감율_이용금액_신용_전월	75.36263275146484
회원여부_이용가능_카드론	75.26956176757812
평잔_일시불_3M	75.21730041503906
증감율_이용금액_신용_분기	74.95439147949219
이용금액_오프라인_R3M	74.71312713623047
이용건수_페이_온라인_R6M	74.27523040771484
월중평잔_CA_B0M	74.21370697021484
수신거부여부_메일	73.89336395263672
컨택건수_이용유도_청구서_B0M	73.75729370117188
이용건수_신판_R6M	72.96241760253906
포인트_마일리지_월적립_B0M	72.78411102294922
상담건수_B0M	72.6317138671875
이용금액_할부_무이자_R3M	72.25897979736328
최종이용일자_기본	71.94451904296875
최종이용일자_체크	71.25162506103516
이용금액_B페이_R6M	70.98747253417969
한도증액후경과월	70.6891860961914
자발한도감액횟수_R12M	70.39910125732422
청구금액_R3M	70.05818939208984
상환개월수_결제일_R6M	70.05335235595703
_1순위업종_이용금액	70.02181243896484
최초카드론이용경과월	69.62074279785156
쇼핑_슈퍼마켓_이용금액	69.29598236083984
이용건수_신판_R12M	68.639404296875
이용금액_D페이_B0M	67.42214965820312
이용개월수_체크_R6M	66.51815795898438
증감율_이용금액_일시불_전월	66.24497985839844
IB문의건수_선결제_R6M	66.0125503540039
Life_Stage	65.37725067138672
RP금액_B0M	64.97422790527344
이용건수_신판_R3M	64.60131072998047
당사멤버쉽_방문횟수_B0M	64.53742218017578
이용금액_오프라인_R6M	64.40804290771484
이용금액_R3M_신용	63.88581466674805
RP후경과월	62.98640441894531
컨택건수_이용유도_EM_B0M	62.474693298339844
연체건수_R3M	62.21656036376953
회원여부_이용가능_CA	61.778160095214844
평잔_카드론_6M	61.09930419921875
이용개월수_일시불_R6M	61.06013488769531
납부_보험료이용금액	60.69915008544922
이용개월수_전체_R3M	60.682891845703125
컨택건수_CA_LMS_R6M	59.98347473144531
이용금액_페이_온라인_R6M	59.5902214050293
월중평잔_일시불	59.450801849365234
이용건수_간편결제_R6M	59.42893981933594
컨택건수_이용유도_TM_R6M	59.4178466796875
이용금액_일시불_R3M	59.1576042175293
RV_최대잔액_R3M	59.090789794921875
RP후경과월_교통	58.9901123046875
카드론이용금액_누적	58.940879821777344
평잔_카드론_3M	58.1441650390625
연속무실적개월수_기본_24M_카드	57.06535720825195
