Feature	Importance
할부금액_무이자_3M_R12M	7487.38330078125
카드이용한도금액_B1M	3618.652587890625
정상청구원금_B5M	3610.120361328125
할인금액_청구서_B0M	3540.378662109375
이용건수_체크_B0M	3359.43115234375
이용금액_선결제_B0M	2705.12158203125
증감율_이용금액_CA_전월	2567.46533203125
이용건수_선결제_R3M	2216.204345703125
CA한도금액	2106.2783203125
이용금액_체크_B0M	1646.1402587890625
이용개월수_결제일_R6M	1627.8958740234375
탈회횟수_발급1년이내	1615.1163330078125
이용금액_R3M_신용체크	1510.06103515625
이용건수_할부_무이자_R12M	1396.39404296875
정상청구원금_B0M	1309.6767578125
이용금액_할부_유이자_R3M	1271.761962890625
RP건수_아파트_B0M	1213.6800537109375
RP후경과월_아파트	1207.16064453125
이용금액_A페이_R3M	1102.50390625
카드이용한도금액	956.2222900390625
정상청구원금_B2M	945.4108276367188
이용금액_할부_무이자_R12M	873.4171752929688
RV_최대잔액_R3M	830.2899169921875
증감_RP건수_전기_전월	823.407958984375
컨택건수_이용유도_인터넷_R6M	719.42626953125
정상입금원금_B2M	710.1143188476562
증감율_이용금액_신용_전월	613.8714599609375
최대이용금액_체크_R12M	585.3080444335938
이용금액_선결제_R3M	579.2630615234375
평잔_CA_6M	564.8888549804688
이용건수_B페이_R3M	557.4713134765625
평잔_할부_6M	557.4227905273438
최대이용금액_할부_무이자_R12M	542.1722412109375
연체입금원금_B5M	534.3828735351562
이용개월수_당사기타_R6M	528.4515991210938
카드이용한도금액_B2M	521.06640625
월중평잔_할부_B0M	496.9286804199219
CA이자율_할인전	431.0508117675781
최대이용금액_일시불_R12M	430.41973876953125
할인금액_청구서_R3M	430.419677734375
잔액_신판ca평균한도소진율_r3m	401.5942077636719
이용금액_체크_R12M	389.3132629394531
입회경과개월수_신용	368.3896789550781
마일_잔여포인트_B0M	356.6390380859375
이용금액_할부_유이자_R12M	350.41162109375
이용금액_오프라인_B0M	335.86163330078125
강제한도감액후경과월	332.37774658203125
최초한도금액	329.8173522949219
소지카드수_유효_신용	327.28607177734375
할부금액_3M_R12M	320.15185546875
입회일자_신용	311.2230224609375
이용건수_신용_R12M	306.57940673828125
평잔_할부_3M	302.7126159667969
최종이용일자_CA	295.7809753417969
이용금액_해외	294.84918212890625
쇼핑_백화점_이용금액	294.602294921875
이용금액_B페이_R6M	280.11480712890625
이용금액_체크_R3M	274.1997985839844
이용개월수_할부_유이자_R6M	274.1485900878906
방문후경과월_PC_R6M	268.0210266113281
연속유실적개월수_기본_24M_카드	255.11904907226562
최종카드발급경과월	252.2145233154297
선결제건수_R3M	238.606689453125
평잔_CA_3M	235.9767608642578
이용개월수_A페이_R6M	235.27622985839844
홈페이지_금융건수_R6M	234.8688201904297
증감율_이용금액_신판_전월	217.17379760742188
청구금액_R6M	209.50111389160156
이용후경과월_신용	198.0362548828125
할부금액_유이자_3M_R12M	192.0364990234375
강제한도감액금액_R12M	187.77362060546875
유효카드수_신용체크	184.2334442138672
이용금액_체크_R6M	183.9679718017578
최종연체회차	181.85775756835938
이용개월수_신용_R12M	180.89437866210938
납부_관리비이용금액	179.0388946533203
쇼핑_기타_이용금액	178.48402404785156
할인금액_B0M	178.0486297607422
마일_이용포인트_R3M	171.72616577148438
_1순위여유업종_이용금액	170.17796325683594
최종이용일자_카드론	169.08242797851562
이용금액_R3M_신용	168.1331787109375
잔액_신판평균한도소진율_r3m	167.71717834472656
_2순위카드이용건수	166.38787841796875
이용건수_간편결제_R3M	164.5403594970703
RP후경과월_제휴사서비스직접판매	158.83404541015625
증감율_이용금액_일시불_분기	156.46450805664062
남녀구분코드	154.3164520263672
최종카드론_대출이율	153.94573974609375
연체입금원금_B2M	153.72378540039062
RP후경과월_전기	152.45260620117188
이용후경과월_신판	151.38116455078125
연체입금원금_B0M	149.24917602539062
증감_RP건수_전월	148.7056884765625
rv최초시작후경과일	147.62718200683594
할부건수_무이자_6M_R12M	145.85873413085938
잔액_카드론_B0M	145.31747436523438
증감율_이용건수_체크_전월	145.04827880859375
RP건수_전기_B0M	144.3595428466797
일시상환론한도금액	140.70068359375
평잔_6M	139.28309631347656
증감율_이용금액_체크_분기	138.6220245361328
이용건수_선결제_R6M	138.09591674804688
카드론이용건수_누적	137.505859375
청구금액_R3M	137.42721557617188
변동률_RV일시불평잔	137.27101135253906
이용건수_B페이_R6M	137.14895629882812
최종카드론이용경과월	136.93194580078125
이용금액_할부_R12M	135.26229858398438
이용건수_신용_R6M	130.85000610351562
_1순위카드이용금액	129.469970703125
이용금액_연체_B0M	127.9210205078125
이용개월수_CA_R6M	126.03388977050781
평잔_카드론_3M	125.97917175292969
이용금액대	124.20849609375
월상환론한도금액	122.61306762695312
납부_기타이용금액	120.19013214111328
증감율_이용금액_신판_분기	115.9220199584961
당사멤버쉽_방문횟수_R6M	115.28913116455078
이용금액_일시불_R12M	114.43998718261719
할인금액_R3M	113.7083511352539
이용금액_간편결제_B0M	113.58869934082031
이용건수_일시불_R6M	112.55896759033203
증감율_이용금액_일시불_전월	111.26126861572266
할부건수_무이자_3M_R12M	110.40381622314453
최대이용금액_CA_R12M	107.3821029663086
이용금액_간편결제_R3M	105.72086334228516
유효카드수_신용	105.56682586669922
상담건수_R6M	105.34791564941406
_1순위카드이용건수	104.24968719482422
월중평잔_CA	103.9046401977539
기준년월	103.82565307617188
_1순위업종_이용금액	103.67308807373047
여유_항공이용금액	103.62480926513672
_2순위카드이용금액	103.19525909423828
이용건수_신판_R6M	102.30230712890625
방문월수_앱_R6M	101.5538558959961
변동률_카드론평잔	100.80670166015625
가맹점매출금액_B2M	99.6242446899414
잔액_신판ca최대한도소진율_r6m	98.8346176147461
잔액_현금서비스_B1M	97.80736541748047
포인트_마일리지_월적립_R3M	97.38753509521484
포인트_마일리지_건별_R3M	97.27709197998047
이용금액_온라인_R3M	96.58927154541016
RV현금서비스이자율_할인전	95.72848510742188
이용후경과월_체크	95.14131164550781
컨택건수_이용유도_LMS_B0M	94.74654388427734
대표결제일	93.38001251220703
강제한도감액횟수_R12M	93.00164031982422
이용건수_카드론_R12M	92.92237091064453
평잔_RV일시불_해외_3M	92.30270385742188
_2순위업종_이용금액	92.17058563232422
평잔_일시불_6M	91.17400360107422
평잔_카드론_6M	90.6048812866211
이용금액_오프라인_R6M	90.50598907470703
최종이용일자_할부	90.08169555664062
마일_적립포인트_R3M	89.83312225341797
이용후경과월_할부_유이자	89.42572784423828
이용금액_할부_무이자_R3M	89.04792022705078
최종카드론_대출금액	87.90217590332031
교통_버스지하철이용금액	87.76697540283203
소지카드수_이용가능_신용	87.191650390625
이용개월수_신판_R12M	85.22391510009766
한도증액횟수_R12M	85.2148666381836
당사멤버쉽_방문횟수_B0M	85.06624603271484
이용금액_일시불_R3M	84.76697540283203
RV일시불이자율_할인전	84.74959564208984
이용카드수_신용_가족	84.343017578125
증감율_이용금액_신용_분기	84.25222778320312
RP유형건수_B0M	84.17817687988281
포인트_이용포인트_R12M	84.13114929199219
마케팅동의여부	84.01268005371094
포인트_마일리지_환산_B0M	83.9128189086914
이용금액_연체_R3M	83.49684143066406
최초카드론이용경과월	83.46907806396484
IB문의건수_CL_RV_R6M	83.1765365600586
이용금액_오프라인_R3M	82.75553894042969
보유여부_해외겸용_본인	82.21831512451172
이용건수_페이_온라인_B0M	82.12818145751953
포인트_포인트_월적립_R3M	82.06228637695312
이용메뉴건수_IB_R6M	81.84607696533203
이용개월수_선결제_R6M	81.58491516113281
연체건수_R3M	81.49059295654297
이용건수_CA_R3M	81.14015197753906
한도증액금액_R12M	80.81268310546875
이용금액_CA_R3M	80.76071166992188
이용건수_페이_온라인_R6M	80.00702667236328
수신거부여부_메일	79.9323501586914
수신거부여부_TM	79.49658966064453
이용금액_CA_B0M	79.35017395019531
평잔_일시불_해외_6M	79.2671127319336
RP후경과월_보험	79.23853302001953
이용금액_선결제_R6M	78.74622344970703
연체일수_B1M	78.50892639160156
이용개월수_체크_R6M	78.49846649169922
마일_적립포인트_R12M	78.17107391357422
포인트_적립포인트_R3M	77.86853790283203
잔액_신판최대한도소진율_r6m	77.796630859375
잔액_카드론_B5M	77.36873626708984
RV_최대잔액_R12M	77.26482391357422
CL이자율_할인전	77.2024154663086
