Feature	Importance
할부금액_무이자_3M_R12M	6686.10595703125
이용개월수_할부_무이자_R3M	6271.3828125
이용횟수_선결제_R6M	4990.4697265625
정상청구원금_B5M	3735.5966796875
카드이용한도금액_B1M	3538.295166015625
CA한도금액	3163.721435546875
할인금액_청구서_B0M	2398.2177734375
월중평잔_할부_B0M	2001.9713134765625
이용금액_체크_B0M	1541.834228515625
이용금액_R3M_신용체크	1446.5009765625
정상청구원금_B0M	1442.092529296875
RP건수_아파트_B0M	1401.94287109375
탈회횟수_발급1년이내	1231.838623046875
쇼핑_아울렛_이용금액	1171.513916015625
이용금액_할부_유이자_R3M	914.8050537109375
이용금액_체크_R3M	825.9000244140625
정상청구원금_B2M	808.3663330078125
최대이용금액_할부_무이자_R12M	763.5250854492188
이용금액_할부_무이자_R12M	728.8585815429688
이용개월수_할부_유이자_R6M	661.8571166992188
이용금액_CA_R6M	602.8956909179688
포인트_마일리지_건별_B0M	595.9437255859375
이용개월수_당사기타_R6M	595.587646484375
평잔_할부_3M	574.6762084960938
최대이용금액_체크_R12M	553.735595703125
평잔_CA_해외_6M	535.358642578125
rv최초시작후경과일	495.0884094238281
이용카드수_체크	494.99749755859375
평잔_CA_3M	478.9118347167969
연체입금원금_B5M	459.4745788574219
월중평잔_CA	459.0353698730469
할인금액_청구서_R3M	455.1697998046875
최대이용금액_일시불_R12M	451.643310546875
이용금액_연체_R3M	449.7344665527344
이용금액_해외	443.6956787109375
최초한도금액	441.7391357421875
입회경과개월수_신용	433.7374267578125
CA이자율_할인전	429.2169189453125
청구금액_R6M	414.81451416015625
입회일자_신용	410.6493225097656
방문횟수_앱_B0M	402.28057861328125
최종카드론_대출이율	399.4146423339844
최종이용일자_CA	367.7321472167969
이용금액_체크_R12M	359.4189453125
강제한도감액횟수_R12M	338.95562744140625
강제한도감액후경과월	338.8258972167969
마일_잔여포인트_B0M	335.8506164550781
카드이용한도금액_B2M	329.92388916015625
이용건수_신용_R12M	328.7745056152344
이용금액_선결제_B0M	320.4353942871094
평잔_3M	312.28338623046875
이용건수_할부_유이자_R6M	304.46734619140625
RP후경과월_아파트	302.84320068359375
보유여부_해외겸용_본인	298.480224609375
이용금액_오프라인_B0M	292.52569580078125
소지카드수_유효_신용	285.2503356933594
_2순위업종_이용금액	282.9364929199219
잔액_카드론_B3M	282.7405700683594
방문후경과월_앱_R6M	280.0353698730469
RV_최대잔액_R3M	279.1512451171875
카드이용한도금액	277.4316711425781
증감율_이용금액_신용_전월	262.8882751464844
이용카드수_신용체크	257.91693115234375
연속유실적개월수_기본_24M_카드	255.55868530273438
방문일수_앱_R6M	251.16790771484375
이용건수_온라인_R3M	246.3901824951172
월중평잔_카드론	232.43289184570312
이용금액_할부_R12M	232.22877502441406
할부금액_3M_R12M	231.4883575439453
이용개월수_결제일_R6M	229.0999755859375
이용개월수_할부_무이자_R6M	226.48023986816406
이용금액_페이_오프라인_B0M	220.18673706054688
강제한도감액금액_R12M	216.1764373779297
할인금액_B0M	211.85537719726562
_1순위업종_이용금액	208.697509765625
교통_주유이용금액	208.49688720703125
이용금액_할부_유이자_R12M	208.42495727539062
최종카드론_대출금액	208.3577423095703
잔액_리볼빙CA이월_B0M	206.967041015625
이용금액_체크_R6M	206.25570678710938
증감율_이용금액_체크_분기	203.07334899902344
이용개월수_결제일_R3M	202.43870544433594
평잔_RV일시불_해외_3M	199.68687438964844
잔액_현금서비스_B1M	198.46510314941406
이용개월수_카드론_R12M	197.41915893554688
잔액_신판ca평균한도소진율_r3m	196.93028259277344
포인트_마일리지_환산_B0M	195.84544372558594
당사멤버쉽_방문월수_R6M	195.40481567382812
이용개월수_신용_R12M	195.20803833007812
포인트_포인트_건별_B0M	193.8631591796875
마일_이용포인트_R12M	191.71583557128906
유효카드수_신용체크	190.96249389648438
납부_관리비이용금액	190.45867919921875
이용후경과월_신용	186.9353485107422
할부금액_유이자_3M_R12M	186.71336364746094
RP후경과월_가스	186.07444763183594
포인트_마일리지_월적립_B0M	185.9722900390625
이용건수_B페이_R3M	182.9757537841797
방문일수_앱_B0M	181.79733276367188
컨택건수_이용유도_인터넷_R6M	180.26507568359375
이용가능카드수_신용	179.6984100341797
_2순위여유업종_이용금액	175.13864135742188
이용후경과월_할부_유이자	174.04843139648438
RV약정청구율	171.90274047851562
잔액_신판ca최대한도소진율_r3m	170.87623596191406
할부금액_14M_R12M	169.27398681640625
일시상환론한도금액	168.35354614257812
포인트_포인트_월적립_R3M	168.04649353027344
잔액_신판ca최대한도소진율_r6m	167.73329162597656
정상입금원금_B2M	165.97390747070312
증감율_이용금액_신용_분기	165.968505859375
