Feature	Importance
할부금액_무이자_3M_R12M	6148.12646484375
이용금액_선결제_B0M	4492.7333984375
카드이용한도금액_B1M	3553.59521484375
정상청구원금_B5M	3539.801025390625
할인금액_청구서_B0M	2998.925537109375
CA한도금액	2262.0390625
이용건수_선결제_R3M	1577.70751953125
이용금액_체크_B0M	1486.3387451171875
카드이용한도금액_B2M	1431.173828125
이용금액_체크_R3M	1401.244140625
RP건수_아파트_B0M	1359.330810546875
정상청구원금_B0M	1318.627685546875
정상청구원금_B2M	1193.6502685546875
이용금액_R3M_신용체크	1173.01171875
이용개월수_할부_유이자_R6M	915.308349609375
증감율_이용건수_카드론_전월	828.02685546875
회원여부_연체	792.0721435546875
포인트_마일리지_건별_R3M	750.6153564453125
청구금액_R6M	708.2863159179688
이용개월수_카드론_R12M	691.9111328125
인입횟수_IB_R6M	686.8412475585938
탈회횟수_발급1년이내	669.7382202148438
증감율_이용금액_체크_분기	641.1927490234375
최대이용금액_체크_R12M	616.7862548828125
할인금액_청구서_R3M	614.41455078125
이용금액_할부_R12M	599.6818237304688
이용금액_해외	557.2402954101562
연체입금원금_B5M	527.037841796875
최종카드발급경과월	514.3636474609375
_2순위여유업종_이용금액	502.44256591796875
이용금액_CA_R6M	500.1114196777344
최대이용금액_일시불_R12M	455.5472412109375
입회경과개월수_신용	454.4601745605469
이용금액_CA_B0M	453.3672790527344
이용건수_B페이_R3M	449.87890625
승인거절건수_BL_R3M	443.1962890625
최초한도금액	422.135498046875
혜택수혜금액	403.01141357421875
월중평잔_CA_B0M	394.7724304199219
증감_RP유형건수_전월	382.99884033203125
이용금액_D페이_R3M	379.5019836425781
이용금액_체크_R12M	379.3382263183594
컨택건수_이용유도_인터넷_R6M	367.8631591796875
최대이용금액_할부_무이자_R12M	347.4578552246094
이용금액_오프라인_B0M	341.39642333984375
증감_RP건수_전기_전월	341.3243103027344
이용금액_A페이_R3M	321.5625305175781
이용건수_신용_R12M	308.3113098144531
최종이용일자_CA	302.8310852050781
연속유실적개월수_기본_24M_카드	276.63348388671875
마일_잔여포인트_B0M	261.58062744140625
이용금액_할부_무이자_R12M	250.927978515625
카드이용한도금액	242.7683868408203
소지카드수_유효_신용	239.85382080078125
이용건수_할부_유이자_R6M	236.66506958007812
선결제건수_R3M	232.701904296875
최대이용금액_할부_R12M	229.90274047851562
이용금액_CA_R12M	229.02691650390625
증감율_이용금액_신용_전월	226.0459747314453
입회일자_신용	214.11962890625
평잔_3M	213.6551513671875
여유_운동이용금액	208.4581298828125
마일_적립포인트_R12M	208.116455078125
연체입금원금_B2M	205.72093200683594
이용개월수_신용_R12M	205.38609313964844
_2순위카드이용금액	200.91378784179688
_2순위업종_이용금액	197.7391815185547
여유_공원이용금액	192.1910400390625
이용금액_D페이_R6M	186.6709442138672
최종이용일자_체크	179.6927947998047
잔액_신판ca최대한도소진율_r6m	175.78521728515625
강제한도감액횟수_R12M	175.2376251220703
RP건수_전기_B0M	174.27728271484375
강제한도감액후경과월	174.09963989257812
이용개월수_페이_오프라인_R6M	172.4895477294922
강제한도감액금액_R12M	169.1025848388672
포인트_마일리지_월적립_R3M	167.97357177734375
유효카드수_신용	165.0377197265625
_1순위카드이용금액	164.81166076660156
이용후경과월_신용	163.00106811523438
유효카드수_신용체크	162.48440551757812
이용개월수_할부_유이자_R12M	158.62420654296875
최대이용금액_CA_R12M	157.3856658935547
이용금액_체크_R6M	156.15853881835938
소지카드수_이용가능_신용	156.057373046875
평잔_CA_3M	153.54559326171875
잔액_현금서비스_B2M	149.88037109375
평잔_할부_6M	147.62403869628906
포인트_포인트_월적립_R3M	146.88673400878906
일시상환론한도금액	145.8827667236328
이용후경과월_신판	144.67398071289062
할부금액_유이자_3M_R12M	144.23507690429688
이용금액대	142.6920928955078
증감율_이용금액_일시불_분기	138.79006958007812
최종카드론_대출이율	138.7515106201172
수신거부여부_DM	137.46420288085938
이용가능카드수_신용체크	136.31735229492188
당사멤버쉽_방문횟수_R6M	135.8723907470703
RP후경과월_아파트	133.48255920410156
연체입금원금_B0M	132.21298217773438
잔액_현금서비스_B1M	131.1417999267578
카드론이용월수_누적	130.77085876464844
포인트_포인트_월적립_B0M	130.69027709960938
이용금액_연체_B0M	128.65597534179688
이용금액_일시불_B0M	126.14299774169922
월상환론한도금액	125.33220672607422
마일_적립포인트_R3M	124.79354095458984
남녀구분코드	124.69710540771484
잔액_카드론_B0M	124.53716278076172
RV현금서비스이자율_할인전	123.7531967163086
_2순위납부업종_이용금액	121.79121398925781
이용금액_일시불_R12M	119.38115692138672
연체감액여부_R3M	118.2337646484375
CA이자율_할인전	117.2568359375
이용건수_일시불_R6M	117.05783081054688
최종연체회차	115.62056732177734
여유_숙박이용금액	115.4952163696289
이용금액_카드론_R12M	114.84286499023438
최종이용일자_할부	114.78809356689453
이용금액_할부_무이자_B0M	111.278564453125
증감율_이용금액_신판_분기	110.68087005615234
이용금액_온라인_R6M	110.41241455078125
잔액_신판ca평균한도소진율_r3m	109.51519775390625
납부_관리비이용금액	109.34941864013672
rv최초시작후경과일	108.14420318603516
가맹점매출금액_B2M	107.29143524169922
일시불ONLY전환가능여부	106.79059600830078
_1순위카드이용건수	105.10112762451172
_2순위카드이용건수	104.74740600585938
연체건수_R3M	104.17008209228516
이용거절여부_카드론	103.422607421875
이용건수_일시불_R12M	103.13908386230469
_3순위납부업종_이용금액	101.94259643554688
할부건수_무이자_3M_R12M	101.86304473876953
이용건수_신용_R6M	101.28868865966797
최종이용일자_카드론	101.25152587890625
변동률_카드론평잔	100.44570922851562
할부금액_유이자_6M_R12M	100.3780517578125
RP후경과월_보험	100.02291107177734
포인트_적립포인트_R12M	99.47000885009766
컨택건수_이용유도_청구서_R6M	99.02854919433594
_1순위여유업종_이용금액	98.9685287475586
이용개월수_체크_R3M	98.33602142333984
이용개월수_신판_R12M	98.02483367919922
평잔_할부_3M	96.60324096679688
방문월수_모바일웹_R6M	96.53254699707031
컨택건수_이용유도_청구서_B0M	96.38117218017578
한도증액횟수_R12M	94.91539001464844
상환개월수_결제일_R6M	94.07727813720703
평잔_카드론_3M	93.27580261230469
쇼핑_기타_이용금액	93.18848419189453
연령	92.959716796875
수신거부여부_메일	92.27983856201172
컨택건수_보험_TM_R6M	92.2354736328125
이용건수_일시불_R3M	91.87725067138672
평잔_일시불_6M	90.70482635498047
포인트_마일리지_환산_B0M	90.62367248535156
평잔_RV일시불_해외_3M	90.32331085205078
증감율_이용금액_신용_분기	90.0662841796875
이용건수_카드론_R12M	89.43817901611328
이용건수_CA_R3M	89.05058288574219
컨택건수_이용유도_LMS_B0M	89.00560760498047
선결제건수_R6M	87.42652130126953
기준년월	86.79913330078125
청구금액_R3M	86.73765563964844
이용건수_CA_R12M	86.65843963623047
방문후경과월_PC_R6M	86.49254608154297
잔액_할부_B0M	86.45594787597656
증감율_이용금액_일시불_전월	86.3551025390625
이용금액_CA_R3M	86.03459167480469
RP후경과월_제휴사서비스직접판매	85.80754852294922
회원여부_이용가능_카드론	85.795654296875
정상입금원금_B5M	85.27436828613281
잔액_카드론_B5M	84.0916519165039
한도증액금액_R12M	83.47024536132812
증감율_이용건수_체크_전월	83.02726745605469
잔액_카드론_B4M	82.29399108886719
이용건수_할부_무이자_R3M	81.46116638183594
