Feature	Importance
증감율_이용금액_신판_분기	101.57526397705078
이용건수_일시불_R6M	100.4615249633789
이용금액_할부_유이자_R12M	99.74832916259766
기준년월	99.68548583984375
이용금액_할부_무이자_B0M	99.37757110595703
이용횟수_연체_R6M	98.61297607421875
이용건수_할부_무이자_R6M	98.47049713134766
평잔_3M	98.14290618896484
불만제기후경과월_R12M	96.25066375732422
_2순위업종_이용금액	95.17105102539062
포인트_마일리지_건별_R3M	94.90779113769531
최종카드론이용경과월	94.43529510498047
_1순위카드이용건수	93.84420013427734
쇼핑_도소매_이용금액	93.61715698242188
최종이용일자_신판	93.25463104248047
연령	92.90348815917969
RP후경과월_보험	92.57614135742188
상환개월수_결제일_R6M	92.07781982421875
이용개월수_할부_무이자_R6M	91.69544982910156
이용개월수_선결제_R6M	91.2787857055664
혜택수혜금액	90.838134765625
이용카드수_신용체크	90.7633285522461
수신거부여부_TM	90.25933837890625
_3순위납부업종_이용금액	89.67626953125
이용금액_오프라인_R3M	89.6436538696289
RP건수_학습비_B0M	89.3155288696289
컨택건수_보험_TM_R6M	89.2400131225586
납부_기타이용금액	89.07241821289062
잔액_현금서비스_B2M	88.81033325195312
이용가능카드수_체크	88.48824310302734
이용금액_할부_무이자_R6M	88.44874572753906
RV_평균잔액_R12M	87.85751342773438
컨택건수_이용유도_청구서_B0M	87.6722412109375
이용거절여부_카드론	86.18479919433594
이용금액_페이_오프라인_R6M	85.92140197753906
RV_최대잔액_R3M	85.3931655883789
평잔_할부_3M	85.13984680175781
잔액_신판ca평균한도소진율_r6m	84.7905502319336
자발한도감액횟수_R12M	84.25640869140625
Life_Stage	83.46714782714844
이용건수_CA_R6M	81.2869873046875
이용금액_C페이_B0M	81.26457214355469
이용금액_CA_R6M	81.22197723388672
쇼핑_백화점_이용금액	80.54969787597656
RV_최대잔액_R12M	79.76597595214844
평잔_6M	79.6911849975586
평잔_카드론_6M	79.03245544433594
가맹점매출금액_B2M	77.36747741699219
마일_적립포인트_R3M	77.3467025756836
이용카드수_체크	76.56951141357422
증감율_이용금액_신판_전월	76.01256561279297
최대이용금액_할부_R12M	75.68890380859375
증감율_이용금액_신용_분기	74.62991333007812
당사멤버쉽_방문횟수_B0M	74.624267578125
증감율_이용건수_신판_전월	74.24785614013672
포인트_이용포인트_R3M	72.22477722167969
이용개월수_온라인_R6M	71.54247283935547
이용금액_온라인_R3M	70.9848403930664
RP후경과월_교통	70.85482788085938
최초카드론이용경과월	70.58820343017578
쇼핑_슈퍼마켓_이용금액	70.32611083984375
컨택건수_리볼빙_LMS_R6M	70.31363677978516
당사멤버쉽_방문횟수_R6M	69.86360931396484
이용건수_신판_R12M	69.83683776855469
이용개월수_할부_유이자_R12M	69.25263214111328
이용건수_CA_R12M	68.32060241699219
여유_운동이용금액	68.11082458496094
선결제건수_R6M	67.75565338134766
증감율_이용금액_일시불_전월	67.65071105957031
RP건수_전기_B0M	67.61898803710938
납부_관리비이용금액	67.34844207763672
포인트_포인트_건별_R3M	66.93753051757812
_3순위여유업종_이용금액	66.79344940185547
한도증액후경과월	66.77540588378906
_1순위업종_이용금액	66.30792236328125
카드론이용건수_누적	65.90602111816406
포인트_마일리지_환산_B0M	65.84174346923828
이용건수_일시불_R12M	65.76534271240234
대표결제일	65.03886413574219
이용금액_간편결제_R3M	65.02056884765625
보유여부_해외겸용_본인	64.41413116455078
잔액_신판최대한도소진율_r6m	64.23677062988281
카드신청건수	63.7581901550293
잔액_신판ca최대한도소진율_r3m	63.7484130859375
RP후경과월_제휴사서비스직접판매	63.02958297729492
RP후경과월	62.48026657104492
최종이용일자_일시불	62.25016403198242
포인트_이용포인트_R12M	62.12956619262695
이용금액_오프라인_R6M	61.77707290649414
증감율_이용금액_신용_전월	61.601173400878906
컨택건수_포인트소진_TM_R6M	60.93125915527344
이용개월수_신판_R12M	60.78239822387695
정상입금원금_B0M	60.742828369140625
잔액_카드론_B5M	60.553993225097656
컨택건수_이용유도_LMS_R6M	60.207603454589844
CL이자율_할인전	60.15861892700195
마일_이용포인트_R12M	59.90449523925781
_1순위교통업종_이용금액	59.8947868347168
여유_공연이용금액	59.74994659423828
이용건수_오프라인_R3M	59.735557556152344
IB문의건수_CL_RV_R6M	59.7298469543457
이용개월수_CA_R12M	59.36062240600586
방문횟수_PC_B0M	59.24724197387695
캠페인접촉건수_R12M	58.87253189086914
최대이용금액_할부_유이자_R12M	58.492008209228516
이용횟수_선결제_R3M	57.56306076049805
납부_보험료이용금액	57.5250129699707
잔액_카드론_B0M	57.447723388671875
RV일시불이자율_할인전	57.393577575683594
방문월수_앱_R6M	57.347347259521484
이용금액_R3M_신용	56.984798431396484
최대이용금액_카드론_R12M	56.84479904174805
연속무실적개월수_기본_24M_카드	56.42036819458008
이용건수_신판_R6M	56.31877517700195
방문월수_모바일웹_R6M	56.25361633300781
이용건수_온라인_B0M	55.984867095947266
연체건수_R3M	55.71560287475586
컨택건수_이용유도_EM_R6M	55.63597106933594
변동률_일시불평잔	55.14949417114258
변동률_CA평잔	54.91133117675781
잔액_신판평균한도소진율_r6m	54.87078094482422
방문후경과월_앱_R6M	54.85253143310547
이용가능여부_해외겸용_신용_본인	54.638916015625
이용건수_오프라인_B0M	54.354549407958984
이용금액_카드론_R12M	54.345863342285156
이용가능카드수_신용	54.31907272338867
이용금액_할부_R6M	53.74383544921875
할부금액_12M_R12M	53.623741149902344
상향가능한도금액	53.5152702331543
이용개월수_일시불_R3M	53.307159423828125
최종연체회차	52.99502944946289
컨택건수_이용유도_EM_B0M	52.962738037109375
이용개월수_체크_R12M	52.78799819946289
이용건수_페이_온라인_R3M	51.75629425048828
이용개월수_할부_무이자_R12M	51.538299560546875
이용금액_B페이_R6M	50.35810852050781
월중평잔_일시불	50.174591064453125
이용개월수_체크_R6M	50.055419921875
이용금액_일시불_R6M	50.02225875854492
방문월수_PC_R6M	49.94733810424805
이용가맹점수	49.348304748535156
동의여부_한도증액안내	49.19334030151367
컨택건수_CA_LMS_R6M	49.07829284667969
이용건수_일시불_R3M	48.957176208496094
방문일수_모바일웹_R6M	48.948974609375
여유_Pet이용금액	48.75871658325195
이용개월수_할부_R6M	48.384864807128906
인입횟수_IB_R6M	48.29258728027344
할부금액_3M_R12M	48.02764892578125
이용가능여부_해외겸용_본인	47.90898132324219
RP건수_B0M	47.792606353759766
RV_최대잔액_R6M	47.76179122924805
증감_RP건수_교통_전월	47.54837417602539
_1순위쇼핑업종_이용금액	47.31896209716797
쇼핑_마트_이용금액	47.28409194946289
증감율_이용금액_체크_분기	47.18418502807617
수신거부여부_DM	46.06214904785156
건수_할부전환_R6M	45.744232177734375
평잔_카드론_3M	45.471317291259766
컨택건수_카드론_LMS_B0M	45.35797882080078
최종이용일자_기본	45.258575439453125
잔액_신판평균한도소진율_r3m	45.21365737915039
할부금액_무이자_6M_R12M	45.08420181274414
증감율_이용건수_체크_분기	45.00619125366211
IB문의건수_분실도난_R6M	44.92652130126953
한도증액금액_R12M	44.77251052856445
남녀구분코드	44.45930480957031
쇼핑_편의점_이용금액	44.15696334838867
IB문의건수_선결제_R6M	43.844974517822266
증감_RP건수_렌탈_전월	43.47576904296875
자발한도감액금액_R12M	43.40555191040039
증감율_이용건수_신판_분기	42.98369598388672
교통_주유이용금액	42.83804702758789
이용건수_신용_R3M	42.64589309692383
이용개월수_페이_오프라인_R6M	42.10367965698242
할부건수_3M_R12M	41.69178009033203
월중평잔_일시불_B0M	41.64678192138672
이용건수_체크_R6M	41.36965560913086
연체감액여부_R3M	41.295875549316406
할부건수_6M_R12M	40.94707489013672
컨택건수_이용유도_TM_R6M	40.916934967041016
이용건수_신판_R3M	40.91438674926758
변동률_할부평잔	40.822296142578125
유효카드수_체크	40.320735931396484
RP금액_B0M	39.721004486083984
이용여부_3M_해외겸용_본인	39.579402923583984
RP건수_가스_B0M	39.37236022949219
이용후경과월_할부	39.35356521606445
이용금액_A페이_B0M	39.334442138671875
캠페인접촉일수_R12M	38.75582504272461
IB문의건수_선결제_B0M	38.61103057861328
잔액_현금서비스_B1M	38.462528228759766
이용개월수_C페이_R6M	38.27088928222656
청구금액_B0	38.01140594482422
정상입금원금_B2M	37.65238952636719
홈페이지_금융건수_R6M	37.50006866455078
이용건수_온라인_R3M	37.35670471191406
RP유형건수_B0M	37.30242156982422
연체건수_R6M	37.21294403076172
이용금액_페이_온라인_R6M	37.18212127685547
평잔_일시불_3M	37.18202590942383
컨택건수_채권_R6M	37.07529067993164
회원여부_이용가능_카드론	37.04977798461914
이용건수_신판_B0M	37.02724838256836
이용금액_연체_R6M	36.92066955566406
증감율_이용금액_할부_분기	36.7263298034668
IB문의건수_카드발급_R6M	36.660377502441406
RV최소결제비율	36.53779983520508
이용건수_오프라인_R6M	36.534793853759766
RV_평균잔액_R6M	36.244083404541016
컨택건수_이용유도_인터넷_R6M	36.18993377685547
이용금액_B페이_B0M	36.1757698059082
연체원금_최근	36.136837005615234
마일_이용포인트_R3M	36.117313385009766
일시불ONLY전환가능여부	36.08036422729492
혜택수혜금액_R3M	36.03340148925781
증감율_이용건수_신용_전월	35.771766662597656
이용건수_체크_R3M	35.734619140625
RP건수_보험_B0M	35.389137268066406
할인건수_R3M	35.33154296875
이용건수_신용_B0M	35.0152702331543
월중평잔_RV일시불	34.86981964111328
교통_정비이용금액	34.7108268737793
이용금액_부분무이자_R3M	34.42159652709961
잔액_할부_무이자_B0M	34.319175720214844
이용금액_페이_오프라인_R3M	34.210872650146484
탈회횟수_발급6개월이내	33.883296966552734
홈페이지_선결제건수_R3M	33.87837219238281
카드론이용금액_누적	33.755802154541016
할부금액_유이자_6M_R12M	33.66470718383789
월중평잔_할부_B0M	33.66408920288086
_1순위납부업종_이용금액	33.54947280883789
최대이용금액_부분무이자_R12M	33.529232025146484
이용가능카드수_신용_가족	33.326908111572266
